TXNAME,GENEID
TRINITY_DN16121_c0_g1_i1,TRINITY_DN16121_c0_g1_i1
TRINITY_DN16179_c0_g1_i1,TRINITY_DN16179_c0_g1_i1
TRINITY_DN16159_c0_g1_i1,TRINITY_DN16159_c0_g1_i1
TRINITY_DN16109_c0_g1_i12,TRINITY_DN16109_c0_g1_i12
TRINITY_DN16104_c0_g1_i2,TRINITY_DN16104_c0_g1_i2
TRINITY_DN16143_c0_g1_i1,TRINITY_DN16143_c0_g1_i1
TRINITY_DN16175_c2_g1_i1,TRINITY_DN16175_c2_g1_i1
TRINITY_DN16175_c0_g1_i1,TRINITY_DN16175_c0_g1_i1
TRINITY_DN16175_c0_g3_i1,TRINITY_DN16175_c0_g3_i1
TRINITY_DN16137_c0_g1_i1,TRINITY_DN16137_c0_g1_i1
TRINITY_DN16155_c0_g1_i1,TRINITY_DN16155_c0_g1_i1
TRINITY_DN16167_c0_g1_i4,TRINITY_DN16167_c0_g1_i4
TRINITY_DN16129_c0_g1_i1,TRINITY_DN16129_c0_g1_i1
TRINITY_DN17594_c0_g1_i1,TRINITY_DN17594_c0_g1_i1
TRINITY_DN17523_c0_g1_i1,TRINITY_DN17523_c0_g1_i1
TRINITY_DN17505_c0_g1_i1,TRINITY_DN17505_c0_g1_i1
TRINITY_DN17546_c0_g1_i1,TRINITY_DN17546_c0_g1_i1
TRINITY_DN17503_c0_g1_i1,TRINITY_DN17503_c0_g1_i1
TRINITY_DN17503_c0_g2_i1,TRINITY_DN17503_c0_g2_i1
TRINITY_DN17503_c0_g3_i1,TRINITY_DN17503_c0_g3_i1
TRINITY_DN17562_c0_g1_i2,TRINITY_DN17562_c0_g1_i2
TRINITY_DN17507_c0_g1_i1,TRINITY_DN17507_c0_g1_i1
TRINITY_DN17507_c0_g2_i1,TRINITY_DN17507_c0_g2_i1
TRINITY_DN17595_c0_g1_i2,TRINITY_DN17595_c0_g1_i2
TRINITY_DN17589_c0_g1_i1,TRINITY_DN17589_c0_g1_i1
TRINITY_DN17597_c0_g1_i2,TRINITY_DN17597_c0_g1_i2
TRINITY_DN17580_c0_g1_i4,TRINITY_DN17580_c0_g1_i4
TRINITY_DN17525_c0_g1_i1,TRINITY_DN17525_c0_g1_i1
TRINITY_DN17525_c0_g2_i1,TRINITY_DN17525_c0_g2_i1
TRINITY_DN17529_c0_g1_i3,TRINITY_DN17529_c0_g1_i3
TRINITY_DN17584_c0_g1_i2,TRINITY_DN17584_c0_g1_i2
TRINITY_DN17550_c0_g2_i1,TRINITY_DN17550_c0_g2_i1
TRINITY_DN17569_c0_g1_i1,TRINITY_DN17569_c0_g1_i1
TRINITY_DN17535_c0_g1_i1,TRINITY_DN17535_c0_g1_i1
TRINITY_DN17535_c0_g2_i1,TRINITY_DN17535_c0_g2_i1
TRINITY_DN17524_c0_g1_i1,TRINITY_DN17524_c0_g1_i1
TRINITY_DN17524_c0_g2_i1,TRINITY_DN17524_c0_g2_i1
TRINITY_DN17552_c0_g1_i1,TRINITY_DN17552_c0_g1_i1
TRINITY_DN17501_c0_g1_i2,TRINITY_DN17501_c0_g1_i2
TRINITY_DN17501_c0_g2_i1,TRINITY_DN17501_c0_g2_i1
TRINITY_DN17565_c0_g1_i1,TRINITY_DN17565_c0_g1_i1
TRINITY_DN17565_c0_g2_i1,TRINITY_DN17565_c0_g2_i1
TRINITY_DN17551_c0_g1_i1,TRINITY_DN17551_c0_g1_i1
TRINITY_DN17590_c0_g1_i1,TRINITY_DN17590_c0_g1_i1
TRINITY_DN17543_c0_g1_i2,TRINITY_DN17543_c0_g1_i2
TRINITY_DN17543_c0_g2_i1,TRINITY_DN17543_c0_g2_i1
TRINITY_DN17544_c1_g1_i1,TRINITY_DN17544_c1_g1_i1
TRINITY_DN17544_c0_g1_i1,TRINITY_DN17544_c0_g1_i1
TRINITY_DN17541_c0_g2_i1,TRINITY_DN17541_c0_g2_i1
TRINITY_DN17522_c0_g1_i1,TRINITY_DN17522_c0_g1_i1
TRINITY_DN17592_c0_g1_i1,TRINITY_DN17592_c0_g1_i1
TRINITY_DN17504_c0_g1_i1,TRINITY_DN17504_c0_g1_i1
TRINITY_DN17502_c0_g3_i1,TRINITY_DN17502_c0_g3_i1
TRINITY_DN17571_c0_g1_i1,TRINITY_DN17571_c0_g1_i1
TRINITY_DN17578_c0_g2_i1,TRINITY_DN17578_c0_g2_i1
TRINITY_DN17542_c0_g1_i2,TRINITY_DN17542_c0_g1_i2
TRINITY_DN17506_c0_g1_i2,TRINITY_DN17506_c0_g1_i2
TRINITY_DN17561_c0_g1_i1,TRINITY_DN17561_c0_g1_i1
TRINITY_DN17556_c1_g1_i3,TRINITY_DN17556_c1_g1_i3
TRINITY_DN17556_c2_g1_i1,TRINITY_DN17556_c2_g1_i1
TRINITY_DN17556_c0_g1_i2,TRINITY_DN17556_c0_g1_i2
TRINITY_DN17556_c0_g2_i1,TRINITY_DN17556_c0_g2_i1
TRINITY_DN17554_c0_g1_i1,TRINITY_DN17554_c0_g1_i1
TRINITY_DN17558_c0_g1_i1,TRINITY_DN17558_c0_g1_i1
TRINITY_DN17586_c0_g1_i2,TRINITY_DN17586_c0_g1_i2
TRINITY_DN17583_c0_g1_i3,TRINITY_DN17583_c0_g1_i3
TRINITY_DN17527_c0_g1_i4,TRINITY_DN17527_c0_g1_i4
TRINITY_DN17533_c0_g1_i1,TRINITY_DN17533_c0_g1_i1
TRINITY_DN17533_c0_g2_i1,TRINITY_DN17533_c0_g2_i1
TRINITY_DN17508_c0_g1_i4,TRINITY_DN17508_c0_g1_i4
TRINITY_DN17547_c0_g1_i1,TRINITY_DN17547_c0_g1_i1
TRINITY_DN17514_c0_g1_i1,TRINITY_DN17514_c0_g1_i1
TRINITY_DN17560_c0_g1_i1,TRINITY_DN17560_c0_g1_i1
TRINITY_DN17560_c0_g2_i1,TRINITY_DN17560_c0_g2_i1
TRINITY_DN17585_c0_g1_i1,TRINITY_DN17585_c0_g1_i1
TRINITY_DN17596_c0_g1_i1,TRINITY_DN17596_c0_g1_i1
TRINITY_DN17519_c0_g1_i3,TRINITY_DN17519_c0_g1_i3
TRINITY_DN17587_c0_g1_i1,TRINITY_DN17587_c0_g1_i1
TRINITY_DN17582_c0_g1_i1,TRINITY_DN17582_c0_g1_i1
TRINITY_DN17536_c0_g1_i1,TRINITY_DN17536_c0_g1_i1
TRINITY_DN6064_c1_g2_i1,TRINITY_DN6064_c1_g2_i1
TRINITY_DN6058_c1_g1_i1,TRINITY_DN6058_c1_g1_i1
TRINITY_DN6061_c0_g1_i1,TRINITY_DN6061_c0_g1_i1
TRINITY_DN6088_c0_g1_i3,TRINITY_DN6088_c0_g1_i3
TRINITY_DN6025_c0_g1_i1,TRINITY_DN6025_c0_g1_i1
TRINITY_DN6019_c0_g1_i1,TRINITY_DN6019_c0_g1_i1
TRINITY_DN6059_c0_g1_i4,TRINITY_DN6059_c0_g1_i4
TRINITY_DN6067_c0_g1_i1,TRINITY_DN6067_c0_g1_i1
TRINITY_DN6054_c0_g1_i1,TRINITY_DN6054_c0_g1_i1
TRINITY_DN6060_c0_g1_i2,TRINITY_DN6060_c0_g1_i2
TRINITY_DN6015_c0_g1_i5,TRINITY_DN6015_c0_g1_i5
TRINITY_DN6016_c0_g1_i2,TRINITY_DN6016_c0_g1_i2
TRINITY_DN6089_c0_g1_i4,TRINITY_DN6089_c0_g1_i4
TRINITY_DN6040_c0_g1_i1,TRINITY_DN6040_c0_g1_i1
TRINITY_DN6017_c1_g1_i1,TRINITY_DN6017_c1_g1_i1
TRINITY_DN6017_c0_g1_i2,TRINITY_DN6017_c0_g1_i2
TRINITY_DN6028_c0_g1_i1,TRINITY_DN6028_c0_g1_i1
TRINITY_DN6049_c0_g3_i2,TRINITY_DN6049_c0_g3_i2
TRINITY_DN6080_c0_g1_i1,TRINITY_DN6080_c0_g1_i1
TRINITY_DN6001_c0_g1_i1,TRINITY_DN6001_c0_g1_i1
TRINITY_DN6090_c0_g1_i1,TRINITY_DN6090_c0_g1_i1
TRINITY_DN6045_c0_g1_i3,TRINITY_DN6045_c0_g1_i3
TRINITY_DN6068_c0_g1_i1,TRINITY_DN6068_c0_g1_i1
TRINITY_DN6033_c2_g1_i1,TRINITY_DN6033_c2_g1_i1
TRINITY_DN6033_c0_g2_i1,TRINITY_DN6033_c0_g2_i1
TRINITY_DN6046_c3_g1_i3,TRINITY_DN6046_c3_g1_i3
TRINITY_DN6046_c1_g1_i8,TRINITY_DN6046_c1_g1_i8
TRINITY_DN6046_c0_g1_i3,TRINITY_DN6046_c0_g1_i3
TRINITY_DN6003_c0_g1_i1,TRINITY_DN6003_c0_g1_i1
TRINITY_DN6003_c0_g2_i1,TRINITY_DN6003_c0_g2_i1
TRINITY_DN6007_c0_g1_i3,TRINITY_DN6007_c0_g1_i3
TRINITY_DN6014_c0_g2_i12,TRINITY_DN6014_c0_g2_i12
TRINITY_DN6014_c1_g1_i1,TRINITY_DN6014_c1_g1_i1
TRINITY_DN6014_c2_g1_i2,TRINITY_DN6014_c2_g1_i2
TRINITY_DN6062_c0_g1_i1,TRINITY_DN6062_c0_g1_i1
TRINITY_DN6020_c1_g1_i1,TRINITY_DN6020_c1_g1_i1
TRINITY_DN6020_c0_g1_i4,TRINITY_DN6020_c0_g1_i4
TRINITY_DN6020_c0_g2_i1,TRINITY_DN6020_c0_g2_i1
TRINITY_DN6020_c0_g3_i1,TRINITY_DN6020_c0_g3_i1
TRINITY_DN6031_c0_g1_i4,TRINITY_DN6031_c0_g1_i4
TRINITY_DN6056_c1_g1_i2,TRINITY_DN6056_c1_g1_i2
TRINITY_DN6056_c0_g1_i1,TRINITY_DN6056_c0_g1_i1
TRINITY_DN6029_c0_g1_i2,TRINITY_DN6029_c0_g1_i2
TRINITY_DN6041_c0_g1_i1,TRINITY_DN6041_c0_g1_i1
TRINITY_DN6095_c0_g1_i1,TRINITY_DN6095_c0_g1_i1
TRINITY_DN6038_c0_g1_i2,TRINITY_DN6038_c0_g1_i2
TRINITY_DN6036_c1_g1_i1,TRINITY_DN6036_c1_g1_i1
TRINITY_DN6036_c0_g1_i7,TRINITY_DN6036_c0_g1_i7
TRINITY_DN6091_c0_g1_i6,TRINITY_DN6091_c0_g1_i6
TRINITY_DN6006_c0_g1_i1,TRINITY_DN6006_c0_g1_i1
TRINITY_DN6006_c0_g2_i1,TRINITY_DN6006_c0_g2_i1
TRINITY_DN6018_c0_g1_i1,TRINITY_DN6018_c0_g1_i1
TRINITY_DN6035_c0_g1_i2,TRINITY_DN6035_c0_g1_i2
TRINITY_DN6051_c1_g1_i1,TRINITY_DN6051_c1_g1_i1
TRINITY_DN6051_c2_g1_i2,TRINITY_DN6051_c2_g1_i2
TRINITY_DN6051_c0_g1_i3,TRINITY_DN6051_c0_g1_i3
TRINITY_DN6000_c0_g1_i2,TRINITY_DN6000_c0_g1_i2
TRINITY_DN6065_c0_g1_i1,TRINITY_DN6065_c0_g1_i1
TRINITY_DN6034_c0_g1_i3,TRINITY_DN6034_c0_g1_i3
TRINITY_DN6002_c0_g1_i1,TRINITY_DN6002_c0_g1_i1
TRINITY_DN6078_c0_g1_i1,TRINITY_DN6078_c0_g1_i1
TRINITY_DN6013_c0_g1_i2,TRINITY_DN6013_c0_g1_i2
TRINITY_DN6076_c0_g1_i2,TRINITY_DN6076_c0_g1_i2
TRINITY_DN6071_c0_g1_i4,TRINITY_DN6071_c0_g1_i4
TRINITY_DN6099_c0_g2_i1,TRINITY_DN6099_c0_g2_i1
TRINITY_DN6099_c4_g1_i1,TRINITY_DN6099_c4_g1_i1
TRINITY_DN6099_c1_g1_i5,TRINITY_DN6099_c1_g1_i5
TRINITY_DN6084_c1_g1_i2,TRINITY_DN6084_c1_g1_i2
TRINITY_DN6021_c1_g1_i2,TRINITY_DN6021_c1_g1_i2
TRINITY_DN6021_c0_g1_i1,TRINITY_DN6021_c0_g1_i1
TRINITY_DN6053_c1_g1_i1,TRINITY_DN6053_c1_g1_i1
TRINITY_DN6053_c2_g1_i1,TRINITY_DN6053_c2_g1_i1
TRINITY_DN6053_c0_g1_i1,TRINITY_DN6053_c0_g1_i1
TRINITY_DN6008_c0_g1_i4,TRINITY_DN6008_c0_g1_i4
TRINITY_DN6066_c0_g1_i1,TRINITY_DN6066_c0_g1_i1
TRINITY_DN6085_c0_g1_i1,TRINITY_DN6085_c0_g1_i1
TRINITY_DN6004_c0_g1_i1,TRINITY_DN6004_c0_g1_i1
TRINITY_DN6073_c0_g1_i2,TRINITY_DN6073_c0_g1_i2
TRINITY_DN6044_c0_g1_i2,TRINITY_DN6044_c0_g1_i2
TRINITY_DN6010_c0_g1_i2,TRINITY_DN6010_c0_g1_i2
TRINITY_DN6052_c0_g1_i1,TRINITY_DN6052_c0_g1_i1
TRINITY_DN6079_c0_g1_i1,TRINITY_DN6079_c0_g1_i1
TRINITY_DN6079_c0_g2_i1,TRINITY_DN6079_c0_g2_i1
TRINITY_DN6057_c0_g1_i1,TRINITY_DN6057_c0_g1_i1
TRINITY_DN6093_c0_g1_i1,TRINITY_DN6093_c0_g1_i1
TRINITY_DN6043_c0_g1_i2,TRINITY_DN6043_c0_g1_i2
TRINITY_DN6094_c2_g2_i1,TRINITY_DN6094_c2_g2_i1
TRINITY_DN6094_c2_g1_i1,TRINITY_DN6094_c2_g1_i1
TRINITY_DN6087_c0_g1_i1,TRINITY_DN6087_c0_g1_i1
TRINITY_DN6037_c0_g1_i2,TRINITY_DN6037_c0_g1_i2
